id,retweet_count,favorite_count
789599242079838210,1786,6357
789530877013393408,3145,11053
789314372632018944,2130,8179
789280767834746880,4572,0
789268448748703744,2434,8627
789137962068021249,2599,9201
788908386943430656,11671,25993
788765914992902144,9628,25831
788552643979468800,6632,0
788412144018661376,4907,14671
788178268662984705,1967,6873
788150585577050112,1196,5777
788070120937619456,3200,0
788039637453406209,1219,5770
787810552592695296,2831,8123
787717603741622272,2576,9688
787397959788929025,2654,10298
787322443945877504,1621,7371
787111942498508800,6277,0
786963064373534720,7404,25206
786729988674449408,2269,0
786709082849828864,5707,17320
786664955043049472,2358,10023
786595970293370880,2903,8954
786363235746385920,3206,10254
786286427768250368,2634,7545
786233965241827333,4354,14363
786051337297522688,145,1350
786036967502913536,6480,0
785927819176054784,2974,10771
785872687017132033,1667,6321
785639753186217984,2098,7435
785533386513321988,1831,8554
785515384317313025,1156,5774
785264754247995392,1512,6889
785170936622350336,4478,11326
784826020293709826,2999,9551
784517518371221505,2355,8470
784431430411685888,1181,5430
784183165795655680,7432,18890
784057939640352768,10314,28004
783839966405230592,10001,28300
783821107061198850,1820,6954
783695101801398276,2980,9831
783466772167098368,2071,7944
783391753726550016,5071,15952
783347506784731136,5129,0
783334639985389568,10836,27391
783085703974514689,2017,7711
782969140009107456,6864,22745
782747134529531904,1315,7054
782722598790725632,4993,16235
782598640137187329,1763,7366
782305867769217024,5110,15665
782021823840026624,5708,0
781955203444699136,3125,10538
781661882474196992,2509,9841
781655249211752448,1047,3763
781524693396357120,5124,19525
781308096455073793,2376,6719
781251288990355457,1921,7895
781163403222056960,2572,9242
780931614150983680,6706,20435
780858289093574656,1855,6777
780800785462489090,1198,5176
780601303617732608,3115,11398
780543529827336192,1623,5934
780496263422808064,3409,0
780476555013349377,103,0
780459368902959104,999,4980
780192070812196864,2075,8184
780092040432480260,2120,0
780074436359819264,4555,11390
779834332596887552,6480,17700
779377524342161408,2873,8231
779124354206535695,16939,0
779056095788752897,4192,13840
778990705243029504,6631,18696
778774459159379968,9111,0
778764940568104960,337,819
778748913645780993,1203,6444
778650543019483137,1384,5405
778624900596654080,940,4329
778408200802557953,3993,12832
778396591732486144,11286,0
778383385161035776,1018,5487
778286810187399168,3052,9714
778039087836069888,2454,7961
778027034220126208,1490,6179
777953400541634568,3253,0
777885040357281792,1511,5980
777684233540206592,2715,10583
777641927919427584,3904,0
777621514455814149,2329,8196
777189768882946048,3972,13267
776819012571455488,12538,0
776813020089548800,1110,4596
776477788987613185,2547,8216
776249906839351296,8414,0
776218204058357768,14644,28010
776201521193218049,2328,8999
776113305656188928,4009,11075
776088319444877312,141,1713
775898661951791106,15460,0
775842724423557120,2453,11005
775733305207554048,3690,13031
775729183532220416,4261,12237
775364825476165632,2707,6920
775350846108426240,3614,9538
775085132600442880,4351,14588
774757898236878852,1650,8111
774639387460112384,1610,6345
774314403806253056,5057,20470
773985732834758656,3574,10127
773922284943896577,1615,6043
773704687002451968,1494,6221
773670353721753600,1220,5045
773547596996571136,5669,20764
773336787167145985,4653,0
773308824254029826,6925,21910
773247561583001600,2991,8855
773191612633579521,3790,9356
772877495989305348,3568,8022
772826264096874500,2200,7554
772615324260794368,3104,0
772581559778025472,1578,6088
772193107915964416,1285,5663
772152991789019136,1048,3580
772117678702071809,686,3538
772114945936949249,440,2576
772102971039580160,861,3763
771908950375665664,1749,6162
771770456517009408,3130,11247
771500966810099713,2413,7748
771380798096281600,4653,9885
771171053431250945,6866,0
771136648247640064,2699,8578
771102124360998913,1324,5848
771014301343748096,1533,6463
770787852854652928,1099,4605
770772759874076672,1320,4876
770655142660169732,1660,6901
770414278348247044,1921,5923
770293558247038976,1351,5837
770093767776997377,2801,0
770069151037685760,2117,7121
769940425801170949,8800,29209
769695466921623552,1558,6025
769335591808995329,7103,0
769212283578875904,1592,5070
768970937022709760,5974,13359
768909767477751808,2428,0
768855141948723200,819,3919
768609597686943744,1094,3845
768596291618299904,1183,4724
768554158521745409,5364,0
768473857036525572,3149,12740
768193404517830656,3253,10145
767884188863397888,1262,4456
767754930266464257,4937,14938
767500508068192258,2140,7024
767191397493538821,3455,11499
767122157629476866,2628,9523
766793450729734144,1249,4727
766714921925144576,345,2459
766693177336135680,727,3785
766423258543644672,1449,5615
766313316352462849,1727,6326
766078092750233600,2410,0
766069199026450432,770,3926
766008592277377025,456,3525
765719909049503744,1984,6785
765669560888528897,1127,4843
765395769549590528,3096,25048
765371061932261376,1997,6663
765222098633691136,3104,10895
764857477905154048,1642,6063
764259802650378240,1382,5620
763956972077010945,49,731
763837565564780549,3790,11722
763183847194451968,1352,5044
763167063695355904,2740,0
763103485927849985,2109,6903
762699858130116608,3294,11329
762471784394268675,5880,10483
762464539388485633,3808,9616
762316489655476224,1027,4492
762035686371364864,14234,29727
761976711479193600,1817,5030
761750502866649088,3572,0
761745352076779520,792,4005
761672994376806400,26617,46150
761599872357261312,1096,3873
761371037149827077,16580,0
761334018830917632,1332,4811
761292947749015552,998,4174
761227390836215808,1437,4983
761004547850530816,3200,10621
760893934457552897,885,3566
760656994973933572,1743,6161
760641137271070720,1185,4659
760539183865880579,3324,7059
760521673607086080,1278,3912
760290219849637889,10527,25003
760252756032651264,795,3695
760190180481531904,1642,5331
760153949710192640,28,0
759943073749200896,1925,5514
759846353224826880,1793,6268
759793422261743616,1756,5563
759557299618865152,1100,4388
759447681597108224,2269,7918
759446261539934208,453,1559
759197388317847553,1797,5686
759159934323924993,1065,0
759099523532779520,3806,13586
759047813560868866,1844,6055
758854675097526272,838,3316
758828659922702336,3539,10445
685315239903100929,943,3025
